iso_code,year,model_fuel,generation_twh,capacity_gw,emissions_mtco2,irena_capacity_gw,irena_generation_twh,r10
AFG,2003,hydro,0.63,0.19,0.01,0.191619,0.458324,R10INDIA+
AFG,2003,nuclear,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2003,oil,0.19,0.04,0.13,0.037032999999999996,0.110101,R10INDIA+
AFG,2003,solar,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2003,windon,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2004,bioenergy,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2004,coal,0.06,0.0,0.06,0.0,0.0,R10INDIA+
AFG,2004,gas,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2004,hydro,0.56,0.19,0.01,0.191718,0.45865100000000003,R10INDIA+
AFG,2004,nuclear,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2004,oil,0.17,0.05,0.11,0.052013,0.27092999999999995,R10INDIA+
AFG,2004,solar,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2004,windon,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2005,bioenergy,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2005,coal,0.06,0.0,0.06,0.0,0.0,R10INDIA+
AFG,2005,gas,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2005,hydro,0.59,0.19,0.01,0.192601,0.461584,R10INDIA+
AFG,2005,nuclear,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2005,oil,0.17,0.05,0.11,0.052013,0.27092999999999995,R10INDIA+
AFG,2005,solar,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2005,windon,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2006,bioenergy,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2006,coal,0.15,0.0,0.14,0.0,0.0,R10INDIA+
AFG,2006,gas,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2006,hydro,0.64,0.2,0.02,0.195647,0.659959,R10INDIA+
AFG,2006,nuclear,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2006,oil,0.11,0.05,0.07,0.052013,0.27092999999999995,R10INDIA+
AFG,2006,solar,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2006,windon,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2007,bioenergy,0.0,0.0,0.0,0.0,0.0,R10INDIA+
AFG,2007,coal,0.15,0.0,0.14,0.0,0.0,R10INDIA+
AFG,2007,gas,0.0,0.0,0.0,0.0,0.0,R10INDIA+
